"salary","age","elevel","car","zipcode","credit","brand"
67246.29728,70,1,7,4,241223.8674,"acer"
111248.5351,53,1,18,4,464879.9246,"acer"
138762.6193,27,3,18,7,270868.1454,"sony"
130104.2157,57,0,3,0,0,"sony"
66419.40224,70,1,1,6,430196.5454,"acer"
105905.1717,78,1,14,4,221805.0272,"sony"
66718.68592,22,3,3,0,359392.595,"acer"
105371.3765,28,0,17,3,118819.0244,"sony"
150000,20,3,8,1,52783.80121,"sony"
78824.04664,70,1,13,6,36615.60833,"sony"
104203.6653,20,0,5,4,472282.7269,"acer"
81031.0909,20,3,7,8,281226.6043,"acer"
35394.28221,26,1,18,4,461495.7806,"sony"
93010.35031,44,4,14,8,5e+05,"acer"
89977.24698,29,2,13,7,119006.3796,"acer"
71357.38975,62,0,18,3,413141.1401,"acer"
86564.44796,33,2,9,5,477016.951,"acer"
141029.8191,22,2,10,8,166924.9082,"sony"
104962.6416,45,4,10,1,344391.502,"acer"
91708.12335,50,3,11,8,446718.263,"acer"
79017.63427,24,1,11,1,182439.1782,"acer"
126987.4355,77,3,10,8,276517.6124,"sony"
50959.11776,69,2,11,4,158345.5348,"acer"
97361.54119,52,2,2,1,472890.1963,"acer"
57871.06916,27,4,18,5,40516.26375,"acer"
114719.9929,35,2,1,6,371147.6246,"sony"
127173.5961,33,2,5,7,278513.526,"sony"
22550.37379,78,3,20,2,358223.8561,"acer"
41046.87118,46,2,13,3,261612.2675,"sony"
124898.0764,41,4,10,8,425863.757,"acer"
126582.4113,54,1,8,8,230828.1126,"sony"
102972.1702,51,0,7,2,157549.9681,"acer"
28104.2676,79,0,8,3,212529.6273,"acer"
91758.28955,55,0,5,4,95280.30363,"acer"
64470.53502,72,0,4,5,72924.56732,"acer"
70008.3427,44,4,17,2,369048.2027,"sony"
43081.31822,41,1,6,5,191982.4034,"sony"
81168.48296,34,4,10,3,35099.85573,"acer"
37764.29766,25,1,8,2,284129.4257,"sony"
150000,23,4,18,3,5e+05,"sony"
30760.74623,78,3,4,1,224080.096,"acer"
115765.8595,71,4,20,6,394825.6264,"sony"
50168.50762,34,2,18,4,187646.3446,"sony"
108117.3094,44,2,9,5,304615.6456,"acer"
117407.261,23,1,5,0,302195.4793,"sony"
47941.2591,24,0,3,7,83615.7243,"sony"
98186.30577,76,3,8,1,199271.624,"sony"
123561.0308,48,2,19,8,76055.51482,"acer"
85061.24877,32,1,12,6,474664.1651,"acer"
42224.98333,60,1,5,1,166459.6241,"sony"
118559.7817,72,3,3,2,287256.5499,"sony"
120060.6862,21,1,17,2,241135.1946,"sony"
62275.60136,49,2,17,8,428596.1819,"sony"
48687.53178,41,2,2,8,201617.3953,"sony"
124449.2735,76,1,1,5,124080.9386,"sony"
102587.4285,20,1,20,6,291874.2933,"sony"
37922.35501,44,2,10,0,411478.2194,"sony"
20000,69,2,14,2,203408.6924,"sony"
20863.03794,53,4,3,0,91408.7083,"sony"
97753.98263,48,1,18,1,228509.3055,"acer"
76230.20993,70,2,18,0,239003.9728,"sony"
61490.09424,69,1,19,7,122582.229,"acer"
71638.6117,26,1,7,6,173247.3789,"acer"
119640.7793,33,2,20,3,331233.6448,"sony"
85002.33367,62,4,7,8,79004.52057,"sony"
126499.072,78,4,10,4,477178.6408,"sony"
78407.74455,23,2,15,3,198359.2028,"acer"
78825.20872,41,2,7,4,276219.7638,"acer"
84333.9113,69,3,17,1,227553.5108,"sony"
141174.4209,71,3,3,5,248924.0085,"sony"
36326.11199,57,2,5,4,416774.0346,"sony"
57481.24511,80,2,20,7,87090.63941,"acer"
76974.37959,70,0,17,5,235786.548,"sony"
122464.6149,35,4,4,7,474694.3411,"sony"
115800.1138,30,4,13,0,462889.3802,"sony"
43973.41539,49,4,9,3,436988.9052,"sony"
138893.0818,51,4,4,8,247379.1391,"sony"
136962.606,74,1,1,8,420048.2066,"sony"
116528.7053,76,0,12,5,167440.0038,"sony"
130833.0008,23,2,16,5,29638.03906,"sony"
103581.5907,77,0,18,6,450230.0564,"sony"
77603.71927,71,0,3,7,41068.79664,"sony"
25721.72544,24,2,10,4,141667.1945,"sony"
125982.6712,53,1,2,3,251534.6838,"acer"
102942.1021,30,3,9,7,418543.0306,"sony"
122105.3795,33,4,18,6,308658.6156,"sony"
146777.3863,24,1,14,4,282599.7609,"sony"
141049.4866,39,4,5,6,27116.55534,"sony"
126448.6574,61,0,11,5,5e+05,"sony"
58090.26917,62,0,1,8,217997.9872,"acer"
74253.30416,67,1,18,8,50630.05515,"sony"
137550.1396,42,2,4,2,277726.9151,"sony"
70768.34809,36,0,11,4,249317.2793,"acer"
114737.6349,40,3,14,7,284935.9197,"sony"
94961.68156,36,1,20,0,56898.47698,"acer"
40597.46719,20,0,7,5,307315.7656,"sony"
76354.84474,26,0,5,3,339813.8804,"acer"
105552.4818,61,0,1,7,445405.4449,"sony"
91168.86289,75,0,1,6,318103.1376,"sony"
80282.98752,68,1,20,7,396729.7297,"sony"
98032.43651,32,1,10,5,407000.2727,"acer"
57356.59966,73,4,19,2,228469.5188,"acer"
45072.35215,77,0,15,4,90572.80287,"acer"
32004.33705,54,0,13,0,78329.76304,"sony"
31247.7923,33,3,5,0,262716.466,"sony"
123414.4505,51,0,15,2,126588.8678,"acer"
102491.2198,60,2,1,1,431329.0163,"sony"
129922.4595,47,2,13,5,465367.285,"sony"
84956.02521,40,0,2,3,19313.86366,"acer"
142684.7682,67,4,15,4,389508.657,"sony"
88022.64951,33,4,20,1,67203.58854,"acer"
79307.38421,41,3,3,8,298115.4446,"acer"
131026.4874,78,3,2,1,264037.6079,"sony"
98947.96129,42,3,15,7,47600.89116,"acer"
114155.581,69,3,20,4,76642.88812,"sony"
90816.37715,49,1,17,0,168983.5016,"acer"
39974.65829,38,1,1,3,411599.372,"sony"
92748.35104,23,2,13,6,376689.6652,"acer"
52381.55815,71,2,19,2,53691.27441,"acer"
109696.8907,33,2,19,1,306930.8132,"sony"
150000,71,0,20,6,198375.7234,"sony"
47817.84173,77,4,6,8,295701.6721,"acer"
129804.126,39,2,19,4,430324.8617,"sony"
90560.66979,77,0,19,6,469039.022,"sony"
60790.38134,55,0,7,4,417998.7835,"sony"
51937.83307,50,3,11,7,180286.3702,"sony"
75127.15274,58,1,6,4,239634.2341,"acer"
35163.88797,79,0,15,3,134335.7574,"acer"
71603.97299,52,2,12,1,116490.9076,"sony"
125684.3106,71,4,2,7,75617.26886,"sony"
59632.25172,33,2,13,2,252940.2811,"acer"
142513.9,41,0,18,7,98291.30237,"sony"
104773.2122,46,3,12,0,334005.1613,"acer"
125359.1955,27,1,18,2,472226.632,"sony"
102822.3753,66,4,5,7,262757.0305,"sony"
142989.9354,43,2,19,4,375447.0364,"sony"
109304.7165,61,1,3,8,88362.85209,"acer"
139245.1188,37,2,5,1,42994.18849,"sony"
48816.16877,54,0,19,2,344485.8304,"sony"
125267.5285,36,2,18,0,50457.25686,"sony"
148913.4369,30,1,19,4,366874.0631,"sony"
114830.9249,72,0,20,7,183800.4905,"sony"
123235.8102,60,1,20,6,5e+05,"acer"
89350.37006,40,4,20,5,32435.88793,"acer"
142993.2327,36,1,11,1,140425.802,"sony"
114758.762,68,2,14,8,404982.1119,"sony"
22229.85426,29,4,12,2,437096.8629,"sony"
141199.8067,51,3,9,2,74644.38473,"sony"
60916.15423,51,0,4,4,29687.24726,"sony"
130713.5948,40,3,12,2,56376.68577,"sony"
129002.9207,63,3,6,2,425581.4366,"sony"
60510.33735,70,1,19,3,442853.1873,"acer"
58602.99107,29,4,11,0,206282.9013,"acer"
52205.66794,34,4,14,7,274402.4457,"acer"
81450.61739,58,2,1,6,131665.4479,"acer"
72199.17821,31,4,14,5,302651.4867,"acer"
127786.606,46,2,16,1,0,"sony"
37564.26825,72,1,11,7,407501.0746,"acer"
104200.8434,64,0,6,2,196894.3018,"sony"
80030.00439,22,4,15,8,390769.0935,"acer"
115322.3206,31,1,10,8,241098.2754,"sony"
71814.84043,67,3,8,4,32092.45823,"acer"
86877.1143,63,3,5,6,378365.476,"sony"
27146.33944,49,3,20,2,8953.972124,"sony"
63284.71451,36,1,15,8,337130.4733,"acer"
100933.2663,71,3,20,6,278940.4201,"sony"
143926.3711,28,3,20,5,89790.06468,"sony"
79139.62098,80,4,2,1,13717.50551,"acer"
90277.42898,80,4,11,8,140418.7736,"sony"
54118.4336,76,3,3,6,466775.872,"acer"
97893.25638,61,0,10,1,474945.8107,"acer"
82815.5434,41,0,11,4,5e+05,"acer"
148296.65,22,1,17,7,264466.0172,"sony"
63049.17146,69,0,12,3,385233.5505,"acer"
51783.31546,80,3,12,7,468442.5132,"acer"
37925.72851,77,2,17,0,242963.7613,"acer"
116008.0933,34,0,12,7,160955.336,"sony"
35620.2353,70,2,19,8,26058.18459,"acer"
62533.03539,64,3,7,3,287363.1168,"acer"
130105.7506,24,1,20,6,450609.6355,"sony"
29749.4862,78,4,15,7,257292.2451,"acer"
97669.10737,67,0,3,0,206482.5332,"sony"
93344.43409,23,4,16,3,12468.53599,"acer"
25493.9877,36,0,1,5,257244.3148,"sony"
40552.57176,55,1,15,2,151100.7491,"sony"
77614.4625,51,3,14,6,0,"acer"
133205.7254,23,0,17,1,156677.8004,"sony"
68348.53865,64,3,10,0,417646.9735,"acer"
70906.75242,56,4,11,5,0,"sony"
77233.76907,73,0,18,7,477469.4867,"sony"
67657.81084,58,1,14,2,45059.43665,"acer"
143060.6818,30,3,18,7,391695.9481,"sony"
147937.0685,41,2,11,7,42354.73178,"sony"
129463.5122,80,3,14,6,405806.2747,"sony"
52949.16278,63,0,7,0,442363.2162,"acer"
78120.11486,54,3,8,3,152523.8094,"acer"
111189.0398,33,1,7,4,149039.6527,"sony"
136275.5045,54,3,14,1,34808.2013,"sony"
40437.22038,56,1,18,0,162254.9757,"sony"
63527.70821,41,3,15,0,425826.2839,"sony"
21126.13814,61,0,20,7,112727.118,"acer"
132454.5989,37,2,4,0,22796.54745,"sony"
26937.44371,40,1,17,5,297295.8256,"sony"
90811.12599,42,4,9,3,86454.34059,"acer"
107455.3649,51,0,16,8,308047.2318,"acer"
124808.5224,76,0,11,2,323022.621,"sony"
37479.99886,20,4,4,1,410739.6896,"sony"
73611.10412,68,3,1,2,312588.5565,"acer"
50395.58178,28,4,8,0,379625.8939,"sony"
71970.32457,27,3,10,6,463247.4867,"acer"
73119.92519,44,4,18,0,38814.7038,"acer"
49351.13734,32,2,10,0,300902.5315,"acer"
52372.29479,43,1,7,4,349856.8397,"sony"
40892.45979,42,1,6,5,188957.3414,"sony"
139023.1273,20,4,5,5,104680.5184,"sony"
140931.9435,45,3,15,6,49061.59666,"sony"
52566.45174,71,4,5,5,314481.0554,"acer"
90992.62484,27,1,10,1,138893.8055,"acer"
106641.084,50,0,17,5,66591.92741,"acer"
111128.1033,76,4,11,6,86871.40729,"sony"
138388.6703,65,2,19,4,199243.198,"sony"
66258.00373,50,0,12,0,289579.9395,"sony"
25086.2967,29,4,15,5,407093.8974,"sony"
42325.29866,67,4,5,7,300351.994,"acer"
91888.84731,58,4,7,8,75704.44308,"acer"
21221.29813,23,2,13,1,344746.368,"sony"
48452.2581,47,0,10,8,387229.9544,"sony"
83137.80268,68,1,14,7,398524.0977,"sony"
84452.19118,27,3,11,5,214214.5143,"acer"
63484.93507,40,0,11,6,32672.45639,"acer"
74139.13223,26,1,3,8,255001.1812,"acer"
99523.88097,55,4,13,6,178723.1268,"acer"
150000,36,4,14,1,135584.4804,"sony"
40847.99492,71,2,1,1,90449.37911,"acer"
61079.17841,40,1,18,5,195585.406,"acer"
143519.587,56,2,2,3,185572.3519,"sony"
99417.73531,32,2,2,8,33880.24129,"sony"
81297.5268,68,1,17,4,472520.8553,"sony"
32539.90664,67,4,9,3,26613.75339,"acer"
49540.82342,58,4,4,5,209548.4002,"sony"
138810.1479,64,4,14,6,266488.6727,"sony"
142843.9572,63,3,14,4,198330.4117,"sony"
142242.1431,43,0,15,3,195496.6787,"sony"
75817.74194,61,4,5,8,41420.26181,"acer"
132840.1649,42,2,10,0,485443.2794,"sony"
57030.03863,23,4,12,3,237213.6995,"acer"
66329.12629,36,3,17,6,369720.6585,"acer"
55914.38172,45,3,8,4,200552.0922,"sony"
52402.77066,38,4,15,8,83066.52285,"acer"
137306.4566,43,1,7,1,302713.6834,"sony"
101307.9145,25,2,17,2,333542.2485,"sony"
61728.08564,56,1,5,8,468419.0861,"sony"
76623.2976,26,1,20,1,276471.1771,"acer"
146859.2794,46,4,1,7,333101.9542,"sony"
73955.16249,36,0,9,0,443255.8299,"acer"
108750.2014,61,4,3,1,172115.0093,"sony"
76794.29133,64,3,15,1,75723.48162,"sony"
78098.32868,22,4,9,5,54507.58813,"acer"
118284.2705,68,4,11,8,283326.8882,"sony"
62286.45225,47,2,16,8,75653.36494,"sony"
22220.17408,54,4,3,5,450939.1686,"sony"
109549.431,56,2,17,8,462089.7915,"acer"
140697.3089,69,0,20,5,255337.255,"sony"
46990.10958,73,3,4,6,149942.844,"acer"
78483.73035,65,3,11,5,343226.2001,"acer"
43891.56968,77,4,10,6,161369.8533,"acer"
29482.81868,57,1,14,0,221367.0628,"sony"
150000,65,1,20,8,83166.3364,"sony"
150000,24,4,5,8,134339.3949,"sony"
76320.6989,57,0,16,1,79991.18209,"sony"
37866.48004,32,3,6,8,479665.9554,"sony"
136064.627,32,2,18,3,106617.9865,"sony"
150000,47,2,5,3,178552.4317,"sony"
37035.58845,64,0,2,4,430163.3555,"acer"
105028.0305,39,0,9,6,5e+05,"acer"
109770.4385,47,3,11,8,333436.7546,"acer"
44066.05921,60,4,10,2,181206.0711,"acer"
139330.2229,73,3,6,8,104040.5731,"sony"
103153.9899,79,0,1,4,204798.2576,"sony"
58690.88241,57,2,3,2,321606.6016,"sony"
30332.45658,67,4,14,6,475564.424,"acer"
90678.14951,43,2,16,6,319219.4426,"acer"
109644.3965,24,3,14,8,358954.8191,"sony"
69005.20497,49,1,3,5,18423.79355,"sony"
103922.428,23,4,9,5,405893.2985,"sony"
106671.5149,58,3,15,0,235590.7938,"sony"
80362.47045,38,4,10,3,407341.3584,"acer"
136687.0725,44,4,15,5,330432.877,"sony"
72444.86473,60,3,18,5,489115.117,"acer"
132842.7175,36,1,15,1,482720.4272,"sony"
116281.6741,25,1,17,5,177293.9883,"sony"
68680.19767,48,3,1,3,307693.5944,"acer"
141803.7458,66,3,8,4,450088.3403,"sony"
65642.38258,54,4,8,8,453676.0102,"sony"
130499.2342,21,4,10,8,433286.9154,"sony"
140336.9426,38,1,13,0,400679.8107,"sony"
72328.47527,72,1,7,4,47160.61824,"acer"
134957.3552,74,0,17,0,118131.322,"sony"
143027.8673,53,2,1,2,100554.3806,"sony"
36400.71601,59,0,6,7,65093.18022,"sony"
26031.11306,56,1,12,0,338602.4266,"sony"
86207.88163,47,4,12,4,296202.7906,"acer"
117156.7887,75,3,9,5,300950.424,"sony"
76727.48056,39,1,19,6,371292.15,"sony"
31258.9147,42,0,11,1,329506.3017,"sony"
57249.62632,54,3,14,3,456410.2828,"sony"
92028.47682,61,0,15,3,465383.8523,"sony"
108852.6071,20,4,5,7,372467.6351,"sony"
47066.89583,57,2,12,4,287239.766,"sony"
140087.1515,27,3,2,2,408892.538,"sony"
98730.46177,24,2,15,6,235430.1087,"acer"
132970.1554,24,4,14,5,305754.0925,"sony"
28475.6638,73,4,13,8,442056.7281,"sony"
65863.8693,59,1,9,1,90928.10954,"sony"
99123.218,52,2,18,7,460830.3093,"acer"
134388.9117,23,3,14,8,162968.6109,"sony"
38376.14866,75,4,2,8,337329.5399,"acer"
135409.7267,79,0,18,2,173684.38,"sony"
94963.23312,54,1,14,2,291187.6177,"acer"
44002.26174,74,0,18,7,39683.38921,"acer"
33156.79718,73,1,6,7,63779.1544,"acer"
42245.67618,74,3,18,4,137882.413,"acer"
54741.16061,21,1,3,1,353096.4069,"acer"
44336.57202,21,4,3,4,437012.2897,"sony"
130659.5981,52,1,10,7,30504.0452,"sony"
44720.2626,53,1,16,5,370786.5517,"sony"
80429.51797,74,0,14,7,159530.6301,"sony"
107568.8733,45,3,19,8,439431.4756,"acer"
94639.32144,20,3,2,6,26878.22524,"acer"
129171.0353,57,1,7,6,339736.3049,"sony"
58114.10186,21,0,12,7,392349.6145,"acer"
125838.8376,47,0,7,0,444088.8338,"acer"
93127.53473,74,4,2,1,301543.5961,"sony"
120177.9575,70,3,6,4,23141.75661,"sony"
97830.6173,32,2,9,3,467295.7564,"sony"
81126.70197,27,1,6,8,212711.4926,"acer"
46900.29866,62,1,16,4,439449.2165,"acer"
123337.2495,72,3,15,3,129613.7401,"sony"
116201.3074,41,4,18,8,332684.1793,"acer"
91290.84638,47,2,14,2,135722.7905,"acer"
32892.23415,75,2,20,6,45224.38695,"acer"
76160.35773,56,3,10,6,257279.7543,"acer"
124562.5583,53,0,19,5,109415.0688,"acer"
52670.65248,79,3,12,8,275263.4629,"acer"
65293.46058,35,0,7,3,313569.5485,"acer"
138856.3164,54,1,2,3,453773.0065,"sony"
122192.9496,38,3,10,7,367631.963,"sony"
104630.4323,29,3,9,4,240267.6185,"sony"
88095.77174,34,1,12,0,279258.3288,"acer"
98501.12792,69,2,9,4,48842.41293,"sony"
120640.235,50,2,18,1,156087.3325,"acer"
129505.6701,42,3,20,0,421986.4959,"sony"
118629.475,20,4,17,5,462810.8779,"sony"
104505.4652,52,3,1,7,94343.46315,"acer"
91571.54788,44,0,13,2,440917.4869,"acer"
81018.55222,75,2,4,4,18925.0021,"sony"
55898.16297,40,3,17,6,276822.2457,"acer"
115011.2826,51,4,6,6,317254.9571,"acer"
55466.79765,54,1,20,1,112109.5324,"sony"
92795.42117,66,1,18,4,6259.957775,"sony"
81294.36542,52,1,10,3,0,"acer"
135583.9408,69,1,15,2,271709.5145,"sony"
76283.84299,31,4,3,3,32158.2197,"acer"
51916.2733,69,1,8,0,353273.7069,"acer"
145612.598,51,1,8,3,301836.1751,"sony"
94497.95915,60,2,9,1,86903.09391,"acer"
56960.46391,27,1,8,3,408452.2193,"acer"
124939.8202,80,0,4,0,293221.0326,"sony"
114654.9216,51,2,14,3,278072.8898,"acer"
22777.57836,62,3,3,6,168640.5721,"sony"
147853.8663,50,3,3,6,51088.15306,"sony"
140133.953,43,2,18,5,265621.2205,"sony"
61514.01533,47,1,16,6,294983.0998,"sony"
150000,63,3,10,2,425661.8952,"sony"
89890.52732,60,4,9,2,168720.4494,"acer"
101572.6946,46,0,16,5,99340.76734,"acer"
78012.95122,39,4,16,8,494168.9638,"acer"
35598.05279,72,2,10,5,306511.3851,"acer"
66046.75103,71,4,20,1,358286.3147,"acer"
116475.5131,32,2,3,6,97237.90674,"sony"
58811.48085,39,2,17,8,428296.7706,"acer"
29107.42137,50,0,5,8,239135.9723,"sony"
88963.91817,70,0,3,3,142536.1708,"sony"
46959.12771,35,0,7,2,206404.021,"sony"
54103.22757,20,3,15,6,111538.041,"acer"
32819.18562,80,0,15,5,44074.96198,"acer"
83671.52437,67,1,11,5,45509.71031,"sony"
99811.29813,69,2,13,5,199408.4901,"sony"
71528.58927,47,0,15,6,359610.502,"sony"
50645.92335,47,4,20,3,41873.65888,"sony"
105962.6212,60,4,11,2,283231.9377,"acer"
145781.9156,26,1,17,8,0,"sony"
113794.8051,31,1,3,0,209477.6593,"sony"
142689.4799,50,0,6,8,44193.57978,"sony"
87101.78174,40,3,9,0,301624.3259,"acer"
104060.8657,77,0,14,0,5e+05,"sony"
112649.4466,38,0,1,1,32332.09015,"sony"
28317.07572,30,0,16,1,286510.7891,"sony"
84838.81147,56,2,4,4,487484.2625,"acer"
121229.83,62,1,8,4,159753.8293,"sony"
58034.94861,51,3,4,7,11789.20367,"sony"
87689.74697,49,1,17,8,293835.9857,"acer"
62086.15538,47,2,16,7,189275.7486,"sony"
143245.8031,45,4,9,3,490516.5085,"sony"
75703.55594,25,1,14,7,361376.3187,"acer"
28478.42707,36,3,12,5,442224.1549,"sony"
64949.80977,78,0,13,7,38560.28119,"acer"
133994.2555,43,1,8,8,386874.16,"sony"
34553.86447,25,1,2,3,238659.2727,"sony"
115979.234,32,1,11,4,293417.6628,"sony"
141721.6422,20,4,3,4,305502.492,"sony"
115849.1026,74,0,11,1,59670.62227,"sony"
150000,34,1,14,8,186954.9518,"sony"
94309.77366,39,0,13,0,181923.981,"acer"
21491.65568,28,1,1,0,401584.2121,"sony"
44780.7596,63,4,17,5,135774.1475,"acer"
56898.9843,20,4,15,1,362385.1302,"acer"
37659.56249,58,0,2,5,322274.9136,"sony"
21706.27816,21,0,9,8,95458.36773,"sony"
77244.35355,58,2,9,5,499331.9336,"acer"
92617.03514,56,4,1,7,298942.8367,"acer"
61633.5168,24,3,17,6,71009.97622,"acer"
115740.9794,70,3,9,1,40744.8233,"sony"
85044.19908,41,2,14,7,151978.3363,"acer"
37259.5375,33,3,8,7,376173.5875,"sony"
26592.62223,37,0,11,8,367005.6485,"sony"
25612.16211,56,0,11,4,408181.7856,"sony"
94584.75306,80,4,14,3,40707.23006,"sony"
67405.79045,44,4,6,1,5e+05,"sony"
27632.42213,72,2,2,2,224595.8007,"acer"
41535.0995,80,2,3,5,378273.1889,"acer"
146871.3653,57,3,14,4,330876.0852,"sony"
60169.44614,71,1,7,7,165327.627,"acer"
90654.05978,61,0,9,5,79770.08152,"sony"
46137.10471,41,1,20,2,271616.9791,"sony"
41379.61441,40,0,20,0,65641.30156,"sony"
82081.56063,62,4,17,1,417279.9607,"sony"
124912.4884,77,0,11,0,344240.1085,"sony"
89944.84523,42,2,20,7,261937.94,"acer"
65668.30698,73,0,19,0,209625.5612,"acer"
28662.39571,64,4,13,8,118241.0303,"acer"
